appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10537,0 days 00:01:29.118000
normal_cluster,application_1758535431786_10559,0 days 00:01:15.421000
normal_cluster,application_1758535431786_10573,0 days 00:01:08.270000
normal_cluster,application_1758535431786_10560,0 days 00:01:25.056000
normal_cluster,application_1758535431786_10567,0 days 00:00:51.527000
normal_cluster,application_1758535431786_10570,0 days 00:01:06.548000
normal_cluster,application_1758535431786_10459,0 days 00:11:01.854000
normal_cluster,application_1758535431786_10554,0 days 00:02:04.994000
normal_cluster,application_1758535431786_10539,0 days 00:02:39.602000
normal_cluster,application_1758535431786_10572,0 days 00:01:27.544000
normal_cluster,application_1758535431786_10541,0 days 00:02:41.914000
normal_cluster,application_1758535431786_10571,0 days 00:01:30.982000
normal_cluster,application_1758535431786_10553,0 days 00:02:12.234000
normal_cluster,application_1758535431786_10544,0 days 00:02:30.612000
normal_cluster,application_1758535431786_10576,0 days 00:01:15.652000
normal_cluster,application_1758535431786_10535,0 days 00:03:09.044000
normal_cluster,application_1758535431786_10569,0 days 00:01:35.215000
normal_cluster,application_1758535431786_10528,0 days 00:04:45.279000
normal_cluster,application_1758535431786_10568,0 days 00:01:47.203000
normal_cluster,application_1758535431786_10575,0 days 00:01:36.157000
normal_cluster,application_1758535431786_10580,0 days 00:00:32.591000
normal_cluster,application_1758535431786_10577,0 days 00:00:35.523000
normal_cluster,application_1758535431786_10579,0 days 00:00:43.415000
normal_cluster,application_1758535431786_10582,0 days 00:00:43.674000
normal_cluster,application_1758535431786_10585,0 days 00:00:32.782000
normal_cluster,application_1758535431786_10590,0 days 00:00:33.394000
normal_cluster,application_1758535431786_10591,0 days 00:00:33.431000
normal_cluster,application_1758535431786_10586,0 days 00:00:43.508000
normal_cluster,application_1758535431786_10583,0 days 00:01:13.840000
normal_cluster,application_1758535431786_10594,0 days 00:00:34.782000
normal_cluster,application_1758535431786_10596,0 days 00:00:31.950000
normal_cluster,application_1758535431786_10574,0 days 00:02:54.509000
normal_cluster,application_1758535431786_10563,0 days 00:03:12.409000
normal_cluster,application_1758535431786_10562,0 days 00:03:27.615000
normal_cluster,application_1758535431786_10588,0 days 00:01:32.262000
normal_cluster,application_1758535431786_10595,0 days 00:01:14.602000
normal_cluster,application_1758535431786_10598,0 days 00:00:22.203000
normal_cluster,application_1758535431786_6697,0 days 12:00:27.534000
normal_cluster,application_1758535431786_10600,0 days 00:00:12.527000
normal_cluster,application_1758535431786_10592,0 days 00:01:35.592000
normal_cluster,application_1758535431786_10601,0 days 00:00:41.537000
normal_cluster,application_1758535431786_10589,0 days 00:02:22.068000
normal_cluster,application_1758535431786_10610,0 days 00:00:11.707000
normal_cluster,application_1758535431786_10607,0 days 00:00:17.611000
normal_cluster,application_1758535431786_10587,0 days 00:02:37.648000
normal_cluster,application_1758535431786_10599,0 days 00:01:14.094000
normal_cluster,application_1758535431786_10593,0 days 00:02:14.584000
normal_cluster,application_1758535431786_10613,0 days 00:00:12.107000
normal_cluster,application_1758535431786_10612,0 days 00:00:16.101000
normal_cluster,application_1758535431786_10614,0 days 00:00:14.628000
normal_cluster,application_1758535431786_10605,0 days 00:00:36.015000
normal_cluster,application_1758535431786_10602,0 days 00:01:18.047000
normal_cluster,application_1758535431786_10578,0 days 00:03:17.434000
normal_cluster,application_1758535431786_10609,0 days 00:00:44.013000
normal_cluster,application_1758535431786_10619,0 days 00:00:29.293000
normal_cluster,application_1758535431786_10611,0 days 00:00:46.529000
normal_cluster,application_1758535431786_10622,0 days 00:00:19.841000
normal_cluster,application_1758535431786_10604,0 days 00:01:19.066000
